player_name,position,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Jordan Goodwin,PG,goodwjo01,2023,2345,1106,0.09525255691,1.744687205,1.839939762,-4.906411644,0.4158608904,-4.490550754,-0.9359676511,1.595010902,0.6590432513,1.920789189,1.920789189,0,-0.460049888,1.75131371,1.291263822,-0.1505791305
Aaron Gordon,PF,gordoaa01,2023,5715,2768,0.6973194968,0.2875414481,0.9848609449,6.263581026,2.856009258,9.119590284,1.84691736,0.8296767873,2.676594148,7.699681064,5.986789385,1.712891679,2.07961211,0.3902148466,2.469826956,-0.05268060614
Eric Gordon,SG,gordoer01,2023,4498,2114,-0.5046770255,-3.828026027,-4.332703052,-1.336406589,0.06351818352,-1.272888406,-0.689823508,-3.220692435,-3.910515943,-1.274911176,-0.7277416674,-0.5471695085,-1.372936519,-3.71090776,-5.083844279,0.3365258752
Devonte' Graham,PG,grahade01,2023,2848,1338,1.546119603,-1.44570893,0.1004106737,-3.320749608,0.1459816025,-3.174768005,0.6506326685,-1.184176895,-0.5335442265,1.513670248,1.513670248,0,0.4332544812,-1.432633609,-0.9993791273,-0.2907416968
Jerami Grant,PF,grantje01,2023,4636,2246,0.2021184973,-0.7461867841,-0.5440682869,1.540615047,-1.295802047,0.2448130003,0.5027905589,-0.8683241096,-0.3655335508,2.727783043,2.727783043,0,0.6724829387,-1.005725374,-0.3332424356,-0.169886486
RaiQuan Gray,PF,grayra01,2023,73,35,-2.190663476,-0.8949126963,-3.085576172,-3.907793376,-10.58953046,-14.49732384,-2.655142698,-2.939430031,-5.594572729,-0.0512869201,-0.0512869201,0,-0.6255472427,-0.9795596191,-1.605106862,0.9764124362
AJ Green,SG,greenaj01,2023,740,345,0.9066734098,-2.592324288,-1.685650878,0.1367737189,-2.491924317,-2.355150598,0.8015094742,-2.784883197,-1.983373723,0.1344729776,0.1344729776,0,1.745623499,-3.097791908,-1.352168409,-0.349917905
Danny Green,SF,greenda02,2023,366,178,-2.895892857,0.4702126626,-2.425680195,-4.96135652,0.7417669478,-4.219589573,-3.515195642,0.4744483001,-3.040747341,-0.02955555674,-0.003770804009,-0.02578475273,-2.095845941,0.4562743353,-1.639571605,1.020702775
Draymond Green,PF,greendr01,2023,5768,2664,-1.898250511,3.401286994,1.503036484,3.102286549,3.129541315,6.231827865,-0.9614760461,3.530403158,2.568927112,7.367836681,6.088289239,1.279547442,-0.8008154007,3.163970142,2.363154741,1.3728312
JaMychal Green,PF,greenja01,2023,1852,846,-1.444429103,-1.492021669,-2.936450772,-3.554496129,-3.121133867,-6.675629996,-1.976458122,-1.941416856,-3.917874979,-0.5128555946,-0.4083414608,-0.1045141338,-1.573514289,-1.979306753,-3.552821043,0.6446691688
Javonte Green,SF,greenja02,2023,1023,480,-0.7450501214,3.475580458,2.730530337,0.7732255015,3.669340578,4.442566079,-0.4380506335,3.694191601,3.256140967,1.477310783,1.477310783,0,-0.3048167034,2.926116576,2.621299873,0.4412965517
Jalen Green,SG,greenja05,2023,5456,2602,1.277628146,-2.870462459,-1.592834313,1.282390804,-2.439015659,-1.156624855,1.472461168,-2.906900403,-1.434439235,1.74964082,1.74964082,0,1.416629934,-3.047425339,-1.630795405,0.1838267568
Jeff Green,PF,greenje02,2023,2943,1434,-3.245655963,-0.7168610414,-3.962517004,-5.440895072,-2.494603176,-7.935498249,-3.941061254,-1.151001109,-5.092062363,-1.719717571,-1.176683551,-0.5430340196,-3.431089184,-2.014484689,-5.445573872,-0.8330675041
Josh Green,SG,greenjo02,2023,3173,1539,-1.412771484,0.6720788635,-0.7406926202,0.584153561,2.057472933,2.641626494,-1.10800131,1.02534539,-0.08265592013,2.095916374,2.095916374,0,-1.368878351,0.7124953582,-0.6563829928,0.07342940112
AJ Griffin,SF,griffaj01,2023,2997,1401,0.09846147762,-1.071608429,-0.9731469511,1.512245245,1.483744281,2.995989526,0.3754746394,-0.5885841372,-0.2131094978,1.807491147,1.807491147,0,0.5916778882,-1.130875598,-0.5391977103,-0.3258061013
Blake Griffin,PF,griffbl01,2023,1197,575,-1.440831832,6.07139222,4.630560388,1.140158444,2.778690695,3.918849138,-1.027618559,5.708496347,4.680877788,2.176903752,2.208751433,-0.0318476808,-1.787699472,5.252120293,3.464420821,-0.2077742929
Quentin Grimes,SG,grimequ01,2023,4807,2363,-0.01469803067,-0.7177696395,-0.7324676702,2.353185007,1.020420051,3.373605058,0.4396160216,-0.4073550986,0.032260923,3.356304064,3.091229028,0.2650750359,0.3466503435,0.1626803258,0.5093306693,-0.07595985061
Rui Hachimura,PF,hachiru01,2023,3939,1854,-1.178788135,-0.08850460852,-1.267292744,-3.325410643,1.687399395,-1.638011248,-1.709425748,0.2566201443,-1.452805604,1.259941394,0.5350688221,0.7248725721,-1.635291422,-1.044850732,-2.680142153,-0.6194201553
Tyrese Haliburton,PG,halibty01,2023,3980,1883,6.843374993,-1.151915347,5.691459645,5.110178422,-0.2309942636,4.879184159,6.90247665,-0.9967541807,5.90572247,8.293653176,8.293653176,0,6.901942533,-0.9497297202,5.952212812,-0.2665057824
Jordan Hall,SG,halljo02,2023,176,83,-8.061162142,-7.468115844,-15.52927799,-11.30613672,1.996267729,-9.309868988,-9.104988388,-5.838660583,-14.94364897,-0.5150397985,-0.5150397985,0,-8.670522709,-6.584535832,-15.25505854,-0.2579796138
R.J. Hampton,PG,hamptrj01,2023,1558,750,-1.195814628,-1.598391116,-2.794205744,-1.971386491,-1.841077259,-3.81246375,-1.385318919,-1.712727477,-3.098046396,-0.1425456185,-0.1425456185,0,-2.199611326,-2.08988629,-4.289497616,-0.1808638936
Tim Hardaway Jr.,SF,hardati02,2023,4367,2152,0.431409918,1.463242616,1.894652534,3.423487345,1.968220964,5.391708308,1.055239155,1.683513135,2.738752291,6.014718648,6.014718648,0,1.351594456,1.255223709,2.606818165,-0.1952750006
James Harden,SG,hardeja01,2023,5091,2562,5.409390428,0.5095137155,5.918904144,1.302011139,-2.035115056,-0.7331039171,4.836494707,-0.004251537998,4.832243169,9.795656271,9.219172194,0.576484077,4.964376221,0.07604397654,5.040420198,-0.9724779024
Jaden Hardy,PG,hardyja02,2023,1495,708,-0.1712605102,-2.701421776,-2.872682286,-0.7675458678,-1.927521194,-2.695067062,-0.3321213314,-2.67598955,-3.008110881,-0.09347895455,-0.09347895455,0,-0.1538618544,-3.234423899,-3.388285754,0.2638543906
Ron Harper Jr.,SF,harpero02,2023,98,48,6.151455635,-2.285704046,3.865751589,5.789601842,5.39479694,11.18439878,6.416463658,-0.8463095412,5.570154117,0.2006308793,0.2006308793,0,2.759171716,-3.228186014,-0.4690142984,-1.548688018
Montrezl Harrell,C,harremo01,2023,1451,688,-1.334174061,2.745660322,1.411486261,-1.193377608,1.083247083,-0.110130526,-1.428317966,2.509877897,1.081559932,1.343151318,1.444391855,-0.1012405375,-2.214173315,1.232598214,-0.9815751006,0.1726479983
Gary Harris,SG,harriga01,2023,2478,1184,-0.3719500995,-0.3171827856,-0.6891328851,2.02372282,-3.928352919,-1.904630098,0.1236724152,-1.090281193,-0.966608778,1.073543192,1.073543192,0,-0.8469073171,-0.6272241699,-1.474131487,-0.3524724796
Joe Harris,SF,harrijo01,2023,3276,1571,-0.6830467724,-1.814369042,-2.497415814,-1.226399527,-1.593278782,-2.819678308,-0.8380151881,-1.894270422,-2.73228561,0.01645180271,-0.006536838724,0.02298864143,-0.8250639748,-1.855937674,-2.681001649,0.3075244737
Kevon Harris,SG,harrike01,2023,960,457,-1.637218232,-0.04611836432,-1.683336597,-0.8320461629,2.484664399,1.652618237,-1.537395321,0.4910559794,-1.046339342,0.3981526034,0.3981526034,0,-2.311179398,-0.09706033364,-2.408239732,0.2349620946
Shaquille Harrison,SG,harrish01,2023,320,148,2.905017622,0.1399138829,3.044931505,2.634332807,2.11890646,4.753239267,3.02455822,0.6035320093,3.628090229,0.483489491,0.4091093314,0.07438015956,1.858776126,2.173448423,4.032224549,0.0860825014
Tobias Harris,PF,harrito02,2023,5657,2828,-0.1293042376,-0.7451974509,-0.8745016886,2.011124944,1.397088098,3.408213041,0.274536995,-0.3507929236,-0.07625592859,3.836801259,3.160212477,0.6765887821,0.5350113481,-0.1433290329,0.3916823152,-1.219899598
Isaiah Hartenstein,C,harteis01,2023,3824,1846,-1.136173159,3.028785539,1.89261238,-0.206839657,2.194910847,1.98807119,-1.052077526,3.025829619,1.973752093,4.517159646,3.377340661,1.139818986,-0.8958597978,2.997794088,2.10193429,-0.07155121835
Josh Hart,SG,hartjo01,2023,5752,2807,0.4512005254,1.397464725,1.848665251,4.175917292,1.660874579,5.836791871,1.234907039,1.558959348,2.793866387,7.930758786,7.348795406,0.5819633802,0.8053237035,1.837792214,2.643115918,-0.04863028139
Udonis Haslem,PF,hasleud01,2023,161,74,-6.776957109,7.622750556,0.845793447,-5.743432263,-3.187862077,-8.93129434,-6.969325536,5.809370613,-1.159954922,0.06097851185,0.0685733166,-0.007594804756,-6.439262688,4.115473555,-2.323789133,0.5032291899
Sam Hauser,SF,hausesa01,2023,2946,1394,1.261189626,0.7125463427,1.973735968,0.3705053748,2.05359565,2.424101025,1.11280806,0.9839224509,2.096730511,3.44513265,3.265274583,0.1798580672,1.05780878,0.248968491,1.30677727,-0.2055699576
Jaxson Hayes,C,hayesja02,2023,1300,610,-2.858136946,0.5959433003,-2.262193646,-6.973226463,0.8595926394,-6.113633823,-3.894882005,0.6533726324,-3.241509373,-0.1536014987,-0.1536014987,0,-4.209046885,-0.7077556004,-4.916802485,0.4176545032
Killian Hayes,PG,hayeski01,2023,4498,2154,-2.247931395,0.4965972575,-1.751334137,-2.861005638,-0.2604146573,-3.121420296,-2.449600845,0.4294374498,-2.020163395,0.8013046135,0.8013046135,0,-1.999282371,0.7352518928,-1.264030479,-0.09620662006
Gordon Hayward,SF,haywago01,2023,3384,1577,-1.991851547,-0.4006861054,-2.392537653,-1.29063473,2.902268089,1.611633359,-1.895222438,0.2762985896,-1.618923848,0.9134912849,0.9134912849,0,-2.194461193,-0.3543681557,-2.548829349,0.3819679744
Juancho Hernangomez,PF,hernaju01,2023,1269,614,-3.200472534,-0.8017462528,-4.002218787,0.5552443561,-1.78947324,-1.234228884,-2.636866204,-1.064779617,-3.701645821,-0.2959243001,-0.2959243001,0,-2.949276748,-0.9554633663,-3.904740115,-0.7417922302
Willy Hernangomez,C,hernawi01,2023,995,458,-0.949224597,1.294937978,0.3457133812,-4.18793919,2.042032863,-2.145906326,-1.683499618,1.460894606,-0.2226050122,0.5942202256,0.5942202256,0,-2.102271536,0.9874856629,-1.114785873,0.6220637883
Tyler Herro,PG,herroty01,2023,4772,2356,0.7997296802,-1.860191087,-1.060461407,2.876492014,1.117185791,3.993677805,1.317230367,-1.361586348,-0.0443559804,3.237102532,3.151971957,0.08513057509,1.731403293,-0.9313046955,0.8000985975,-0.425922093
Buddy Hield,SG,hieldbu01,2023,5277,2482,1.543653236,-0.1654250151,1.378228221,2.528818312,-0.1094830667,2.419335245,1.847194563,-0.1197864159,1.727408147,5.694180735,5.694180735,0,2.893839944,0.3746470087,3.268486953,0.4337516319
Haywood Highsmith,PF,highsha01,2023,2307,1130,-3.132413284,1.987007452,-1.145405832,-3.535004033,0.5380735412,-2.996930492,-3.413855022,1.789490943,-1.624364079,0.6697821166,0.1799114321,0.4898706845,-3.279779914,1.246272288,-2.033507626,-0.00760973899
George Hill,PG,hillge01,2023,1777,834,-1.010392469,0.6223276166,-0.3880648523,-2.387689366,2.141850112,-0.2458392542,-1.349539955,0.9448191685,-0.4047207867,0.9828786009,0.9828786009,0,-1.741243417,0.6164935754,-1.124749842,-0.9853482492
Malcolm Hill,SG,hillma01,2023,23,9,-5.337870121,-2.532796461,-7.870666581,7.498959922,29.09160214,36.59056206,-2.950544762,3.905947666,0.9554029048,0.0171174882,0.0171174882,0,-2.900390361,-3.572322345,-6.472712706,0.6111341875
Aaron Holiday,PG,holidaa01,2023,1826,849,-1.480370746,2.44950696,0.9691362146,-0.5614046465,1.789153613,1.227748966,-1.398336188,2.478556244,1.080220056,1.650809411,1.669836842,-0.01902743112,-1.189339547,1.169620335,-0.01971921232,-0.2792151733
